,index,station id,station name,station latitude,station longitude,path_concat,Origin-Destination
48,338040,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Jackson-Square,Origin
49,338040,3694,Jackson-Square,40.71113,-74.0789,5-Corners-Library_Jackson-Square,Destination
50,283012,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Jersey-&-3rd,Origin
51,283012,3272,Jersey-&-3rd,40.723331586464354,-74.04595255851744,5-Corners-Library_Jersey-&-3rd,Destination
52,326380,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Jersey-&-6th-St,Origin
53,326380,3270,Jersey-&-6th-St,40.72528910781132,-74.04557168483734,5-Corners-Library_Jersey-&-6th-St,Destination
54,337786,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Journal-Square,Origin
55,337786,3640,Journal-Square,40.733670000000004,-74.0625,5-Corners-Library_Journal-Square,Destination
56,306075,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Lafayette-Park,Origin
57,306075,3268,Lafayette-Park,40.71346382669195,-74.06285852193831,5-Corners-Library_Lafayette-Park,Destination
58,331812,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Leonard-Gordon-Park,Origin
59,331812,3281,Leonard-Gordon-Park,40.74590996631558,-74.05727148056029,5-Corners-Library_Leonard-Gordon-Park,Destination
60,342260,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Liberty-Light-Rail,Origin
61,342260,3192,Liberty-Light-Rail,40.711242299999995,-74.0557013,5-Corners-Library_Liberty-Light-Rail,Destination
62,339364,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Lincoln-Park,Origin
63,339364,3193,Lincoln-Park,40.7246050998869,-74.07840594649316,5-Corners-Library_Lincoln-Park,Destination
64,301717,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Manila-&-1st,Origin
65,301717,3273,Manila-&-1st,40.72165072487999,-74.04288411140442,5-Corners-Library_Manila-&-1st,Destination
66,306191,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Marin-Light-Rail,Origin
67,306191,3276,Marin-Light-Rail,40.71458403535893,-74.04281705617905,5-Corners-Library_Marin-Light-Rail,Destination
68,331510,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_McGinley-Square,Origin
69,331510,3194,McGinley-Square,40.7253399253558,-74.06762212514876,5-Corners-Library_McGinley-Square,Destination
70,322368,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Monmouth-and-6th,Origin
71,322368,3278,Monmouth-and-6th,40.72568548362901,-74.0487903356552,5-Corners-Library_Monmouth-and-6th,Destination
72,335331,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Montgomery-St,Origin
73,335331,3483,Montgomery-St,40.71942,-74.05099,5-Corners-Library_Montgomery-St,Destination
74,204596,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Morris-Canal,Origin
75,204596,3267,Morris-Canal,40.7124188237569,-74.03852552175522,5-Corners-Library_Morris-Canal,Destination
76,331755,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Newark-Ave,Origin
77,331755,3211,Newark-Ave,40.72152515,-74.046304543,5-Corners-Library_Newark-Ave,Destination
78,334344,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Newport-PATH,Origin
79,334344,3202,Newport-PATH,40.7272235,-74.03375890000001,5-Corners-Library_Newport-PATH,Destination
80,336827,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Newport-Pkwy,Origin
81,336827,3199,Newport-Pkwy,40.728744799999994,-74.03210820000001,5-Corners-Library_Newport-Pkwy,Destination
82,295606,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Oakland-Ave,Origin
83,295606,3207,Oakland-Ave,40.7376037,-74.05247829999999,5-Corners-Library_Oakland-Ave,Destination
84,324906,3220,5-Corners-Library,40.73496102000952,-74.05950307846071,5-Corners-Library_Paulus-Hook,Origin
